Species,Stock,N (est),CV,N(min),Survey interval/ year of last survey,Rmax,F(r),PBR,Fishery mort.,Subsist. mort.,Total mort.,Status
"Baird’s beaked
whale",Alaska,N/A,,N/A,,0.04,0.5,N/A,0,0,0,NS
Bearded seal,Alaska,N/A,,N/A,,0.12,0.5,N/A,0.68,"6,788","6,789",NS
Beluga whale,Beaufort Sea,"39,258",0.23,"32,453",13/1992,0.04,0.5,324,0,152,152,NS
Beluga whale,E. Chukchi Sea,"3,710",N/A,"3,710",2-Mar,0.04,1,74,0,65,65,NS
Beluga whale,E. Bering Sea,"18,142",0.24,"14,898",May-00,0.04,1,298,0,209,209,NS
Beluga whale,Bristol Bay,"1,888",0.2,"1,619",May-00,0.04,1,32,0,19,19,NS
Beluga whale,Cook Inlet,302,0.186,264,6-Jan,0.04,0.3,UNDET,0,1,1,S
Bowhead whale,W. Arctic,"10,545",0.13,"9,472",1-May,0.04,0.5,95,0.2,45,46,S
Cuvier’s beaked whale,Alaska,N/A,,N/A,,0.04,0.5,N/A,0,0,0,NS
Dall’s porpoise,Alaska,"83,400",0.097,N/A,May-00,0.04,1,UNDET,30,0,30,NS
Fin whale,NE Pacific,"5,703",N/A,"5,703",3-Feb,0.04,0.1,11.4,0,0,0,S
Gray whale,E. N. Pacific,"18,813",0.07,"17,752",2-Mar,0.047,1,417,6.7,122,130,NS
Harbor porpoise,SE Alaska,"17,076",0.265,"13,713",Aug-97,0.04,0.5,137,1,0,0,S
Harbor porpoise,Gulf of Alaska,"41,854",0.224,"34,740",Jul-98,0.04,0.5,347,68,0,70,S
Harbor porpoise,Bering Sea,"66,078",0.232,"54,492",Jun-99,0.04,0.5,545,0.35,0,0.35,S
Harbor seal,SE Alaska,"112,391",0.04,"108,670",6/1997-1998,0.12,0.5,"3,260",0,"1,092","1,094",NS
Harbor seal,Gulf of Alaska,"45,975",0.04,"44,453",Jun-00,0.12,0.5,"1,334",24,795,820,NS
Harbor seal,Bering Sea,"21,651",0.1,"20,109",6/1996; 1999,0.12,0.5,603,1.3,174,177,NS
Humpback whale,W. N. Pacific,394,0.08,367,6+/1999,0.07,0.1,1.3,0.2,0,0.2,S
Humpback whale,CNP - entire stock,"4,005",0.095,"3,698",Dec-93,0.07,0.1,12.9,3.2,0,5,S
,"CNP - SEAK
feeding area",961,0.12,868,,0.07,0.1,3,1.4,0,2.8,N/A
Killer whale,Alaska Resident,"1,123",N/A,"1,123",8+/2003,0.04,0.5,11.2,1.5,0,1.5,NS
Killer whale,"Northern Resident
(British Columbia)",216,N/A,216,,0.04,0.5,2.16,0,0,0,NS
Killer whale,AT1 transient,7,N/A,7,,0.04,0.5,0,0,0,0,S
Killer whale,"GOA, AI, BS
Transient",314,N/A,314,8+/2003,0.04,0.5,3.1,0.4,0,0.4,NS
Killer whale,West Coast Transient,314,N/A,314,,0.04,0.5,3.1,0,0,0,NS
Minke whale,Alaska,N/A,,N/A,,0.04,0.5,N/A,0.32,0,0.32,NS
Right whale,E. N. Pacific,N/A,N/A,N/A,N/A,0.04,0.1,N/A,0,0,0,S
Northern fur seal,E. North Pacific,"721,935",N/A,"709,881",4-Feb,0.086,0.5,"15,262",0.8,702,704,S
"Pacific white-sided
dolphin",Cent. N. Pacific,"26,880",N/A,N/A,12+/1990,0.04,0.5,UNDET,0,0,0,NS
Ribbon seal,Alaska,N/A,,N/A,,0.12,0.5,N/A,0.8,193,194,NS
Ringed seal,Alaska,N/A,,N/A,,0.12,0.5,N/A,0.71,"9,567","9,568",NS
Sperm whale,N. Pacific,N/A,,N/A,,0.04,0.1,N/A,0.5,0,0.5,S
Spotted seal,Alaska,N/A,,N/A,,0.12,0.5,N/A,0.88,"5,265","5,266",NS
"Stejneger’s beaked
whale",Alaska,N/A,,N/A,,0.04,0.5,N/A,0,0,0,NS
Steller sea lion,E. U. S.,"48,519",,"44,584",5-Feb,0.12,0.75,"2,006",1.4,9,15.8,S
Steller sea lion,W. U. S.,"38,988",,"38,988",4-Feb,0.12,0.1,234,24.6,198,223.6,S
