Year,StellarSeaLion
1995,67100
1996,80946
1998,69903
1999,69434
2000,69434
2001,65605
2003,65803
2005,83509
2006,86873
2007,87507
2008,89452
2009,91661
2010,107645
2011,107565
2012,111195
2013,116338
2014,122422
2015,116497
2016,92621
2017,94941
