Year,Population
1995,72668
1996,74266
1998,79937
1999,79937
2000,79937
2001,79937
2003,79937
2005,79937
2006,180017
2007,180017
2008,180017
2009,180017
2010,180017
2011,152592
2012,152592
2013,152592
2014,152592
2015,205090
2016,205090
