Year,Population
1995,1407
1996,1407
1998,4399
1999,4399
2000,4399
2001,4399
2003,4399
2005,4399
2006,4399
2007,4399
2008,4399
2009,8407
2010,8407
2011,8407
2012,8407
2013,8407
2014,11210
2015,11210
2016,11210
